title,description,department
Lost and found item management [Follow-up #88],A laptop bag was found in the cafeteria yesterday morning. No one has claimed it. Requesting operations to update the lost and found log and post an internal notice.,Operations
Quarterly tax installment payment confirmation,Finance team needs confirmation that the second quarterly advance tax installment was successfully paid before the statutory due date.,Finance
Product manual not included in package [Follow-up #111],Customer received the product but there was no user manual or quick start guide included in the box. Requesting digital or physical copy of the manual.,Customer Support
Incorrect HRA exemption calculated,Employee's HRA exemption in the latest Form 16 draft appears to be calculated incorrectly. The rent receipts submitted show a higher eligible amount.,Finance
LTA claim submission and processing [Case #2028],Employee submitting Leave Travel Allowance claim for the current block year with all supporting travel documents attached for processing.,Finance
Customer loyalty program redesign [Case #2038],Marketing has proposed a complete redesign of the loyalty rewards program with an estimated annual cost impact of INR 25 lakhs. Awaiting approval.,Manager
Brand guideline violation by vendor [Follow-up #55],A marketing vendor used the company logo in a manner that violates brand guidelines in published material. Requesting management guidance on response.,Manager
Hazardous waste disposal needed [Follow-up #565],"Old batteries, expired chemicals and electronic waste have accumulated in the storage room. Certified hazardous waste disposal needs to be arranged.",Operations
Promotion criteria clarification [Follow-up #448],Employee asks HR to clarify the specific criteria and process used to evaluate candidates for the senior analyst promotion that was recently announced.,HR
Emergency contact information update [Follow-up #188],Employee needs to update the emergency contact information in their HR record following a change in their personal circumstances.,HR
Approval for hiring freeze exception [Case #2161],Department urgently needs to hire a replacement for a critical role vacated due to sudden resignation during the company-wide hiring freeze.,Manager
Digital signature setup required [Ref #1089],Employee needs a digital signature certificate configured on their workstation for signing official documents and contracts electronically.,IT Support
Staff locker allocation issue,Several employees have been waiting for locker allocation for over a month. New lockers were ordered but have not yet been installed in the locker room.,Operations
Relocation of server room equipment,IT team needs operations support to safely move server racks during the weekend office renovation. Requires coordination and heavy equipment.,Operations
Cart items disappearing before checkout [Follow-up #470],"Customer adds items to their cart but when they return to complete the purchase, all items have been removed from the cart automatically.",Customer Support
Video conferencing echo issue [Ref #1087],"During team video calls, participants can hear a strong echo that makes conversations difficult. The issue persists across different meeting rooms.",IT Support
Payroll correction for terminated employee [Follow-up #490],A terminated employee was incorrectly included in last month's payroll run and their salary was credited. Requesting reversal and recovery process.,Finance
PDF files not opening on workstation [Ref #1038],All PDF files are failing to open on the employee's computer. The default PDF reader crashes immediately when any PDF is double-clicked.,IT Support
Agency partnership agreement review [Follow-up #36],Business development has negotiated terms with a new advertising agency. The partnership agreement requires senior management review and signature.,Manager
Trade receivables reconciliation discrepancy [Ref #1085],"Month-end trade receivables balance in the ledger does not match the sum of individual customer balances. Variance of INR 34,000 identified.",Finance
Vendor payment terms renegotiation request [Follow-up #454],Procurement is requesting finance approval to renegotiate payment terms with a key vendor from net 30 to net 60 days to improve cash flow.,Finance
Legacy application compatibility issue [Ref #1064],A legacy finance application does not run on Windows 11 which has been rolled out to new laptops. Compatibility mode is not resolving the issue.,IT Support
Email address change not reflecting [Case #2123],Customer updated their email address in account settings but login and communications are still being sent to the old email address.,Customer Support
Wrong name on personalized product [Ref #1050],Customer ordered a personalized item with a specific name engraved but the delivered product has a different name on it. Requesting replacement.,Customer Support
Automated email not being sent [Ref #1062],A business-critical automated notification email that should trigger when a form is submitted has stopped sending. Last successful send was 4 days ago.,IT Support
Security incident at entrance gate [Follow-up #436],An unauthorized individual attempted to enter the office premises yesterday evening. CCTV footage has been preserved. Formal report needs to be filed.,Operations
New user account creation request [Ref #1041],Manager requesting creation of a new Active Directory user account for a contractor joining next week. Access requirements list is attached.,IT Support
Video conferencing echo issue [Ref #1052],"During team video calls, participants can hear a strong echo that makes conversations difficult. The issue persists across different meeting rooms.",IT Support
Incorrect rent deduction from salary [Follow-up #125],Company-provided accommodation rent is being deducted from salary at a rate higher than the agreed amount stated in the employment contract.,Finance
Mobile app push notifications not arriving [Follow-up #142],Employees are not receiving push notifications from the company's internal mobile application despite notifications being enabled in device settings.,IT Support
Form 16 not issued within deadline [Ref #1075],"The financial year ended two months ago and the employee has not received their Form 16 certificate, which is required for filing their income tax return.",Finance
Harassment complaint filing,Employee wants to file a formal harassment complaint against a colleague. Requesting HR to initiate the internal complaints committee process as per policy.,HR
Employee monitoring software query [Follow-up #589],HR is querying IT about whether the company's remote monitoring software is configured in compliance with the current employee privacy policy.,IT Support
Order confirmation email going to spam [Case #2196],All order confirmation and shipping notification emails from the platform are automatically going to the customer's spam folder despite being marked as safe.,Customer Support
License management audit request [Follow-up #411],IT manager requesting an audit of all currently installed software licenses across the organization to identify compliance gaps before renewal season.,IT Support
Customer loyalty program redesign [Ref #1065],Marketing has proposed a complete redesign of the loyalty rewards program with an estimated annual cost impact of INR 25 lakhs. Awaiting approval.,Manager
Phone extension number change needed [Follow-up #149],Employee moved to a new desk location and needs their VOIP phone extension number updated to reflect the new seating assignment.,IT Support
Complaint about product description mismatch [Ref #1062],Product description on the website stated the item was made of stainless steel but the received product is made of plastic. Requesting refund.,Customer Support
Cash flow forecast accuracy review [Ref #1067],CFO has requested a review of the cash flow forecasting model after actual cash flows deviated significantly from projections for three consecutive months.,Finance
Collaboration tool integration request,Team requesting integration between their project management tool and the company's Slack workspace to receive automated task update notifications.,IT Support
Annual maintenance contract renewal [Ref #1068],"Annual maintenance contracts for all office equipment including printers, ACs and elevators are due for renewal. Quotes from vendors are needed.",Operations
Job description update for promotion [Case #2165],Employee has been performing duties beyond their current job description for 8 months. Requesting HR to formally update the JD to reflect current responsibilities.,HR
Incentive structure redesign proposal [Ref #1086],Sales leadership has proposed a new commission and incentive structure. Requires senior management approval before being communicated to the team.,Manager
Complaint about delayed response time [Follow-up #556],Customer submitted a support ticket 6 days ago and has only received an automated acknowledgment. No agent has responded to the actual query.,Customer Support
Ergonomic assessment request [Follow-up #296],Employee with recurring back pain is requesting a formal ergonomic assessment of their workstation by a certified ergonomics consultant.,Operations
Dual monitor setup not working [Follow-up #377],Employee received a second monitor but the workstation is not detecting it. Display settings show only one monitor despite the cable being connected.,IT Support
Size exchange request for clothing item [Follow-up #495],Customer received the correct item but the size does not fit. Requesting an exchange for a larger size. Item is unworn and tags are intact.,Customer Support
Voluntary separation scheme query [Case #2098],"Employee wants information about the voluntary separation scheme that was announced last month including eligibility, terms and application process.",HR
Capital expenditure approval pending [Follow-up #23],"Project team is requesting approval for capital expenditure of INR 3,50,000 for new lab equipment. Business case and ROI analysis are attached.",Finance
Visitor management system not working [Ref #1078],The digital visitor registration kiosk at the reception has been malfunctioning for three days. Visitors are being managed manually which is causing delays.,Operations
Payslip format change request [Follow-up #216],Employee requesting HR to update the payslip format to include a detailed breakup of all allowances separately for easier tax filing purposes.,HR
Auto-renewal charged without reminder,Customer was charged for an annual subscription auto-renewal without receiving the standard 7-day advance reminder email as per the company policy.,Customer Support
Subscription pause feature not working [Case #2030],Customer is trying to pause their subscription for 2 months using the account settings but the pause option is greyed out and unresponsive.,Customer Support
Strategic technology investment review,CTO has submitted a proposal for a three-year technology investment roadmap. Requesting management council review and approval at the next board meeting.,Manager
Order split into multiple deliveries [Follow-up #262],Customer placed a single order but it has been split into three separate deliveries with different arrival dates. Was not informed of this at checkout.,Customer Support
Customer satisfaction score declining [Follow-up #202],CSAT scores have dropped 12 points over the last quarter. Requesting management review of the trend and approval for corrective action initiatives.,Manager
Late joining bonus query [Ref #1074],New employee's offer letter mentioned a joining bonus payable after 90 days but the bonus has not been credited even though 120 days have passed.,HR
Job description update for promotion,Employee has been performing duties beyond their current job description for 8 months. Requesting HR to formally update the JD to reflect current responsibilities.,HR
Phone support hold time too long [Case #2060],Customer waited on hold for 45 minutes without reaching an agent. This is the third time this week they have experienced excessive wait times on the support line.,Customer Support
Emergency contact information update [Ref #1096],Employee needs to update the emergency contact information in their HR record following a change in their personal circumstances.,HR
Interest income tax treatment query [Ref #1099],Finance team needs guidance on the tax treatment of interest income earned on surplus funds deposited in a short-term fixed deposit.,Finance
Legal hold order compliance [Ref #1091],Legal team has issued a hold order on certain documents related to ongoing litigation. Management needs to ensure all relevant departments comply.,Manager
Data privacy policy update approval [Follow-up #278],Legal team has prepared an updated data privacy policy to comply with new regulations. Requesting senior management review and formal approval.,Manager
Noise complaint from neighboring office [Case #2160],The neighboring office unit has filed a formal noise complaint about sound levels during company events. Requesting operations to address the issue.,Operations
Job rotation request to another team [Ref #1081],Employee is requesting a 3-month internal job rotation to the marketing team to broaden their skills. Current team manager has provided consent.,HR
Stock option exercise tax withholding query [Follow-up #270],Employee plans to exercise 500 vested stock options next month and needs clarification on the withholding tax amount that will be deducted.,Finance
Dress code policy violation complaint [Case #2168],Manager has received multiple complaints from team members about a colleague consistently violating the office dress code policy. Requesting HR intervention.,HR
Voice assistant integration not working,Customer is unable to connect their account with their home voice assistant device. The skill authorization process keeps failing with a timeout error.,Customer Support
Cloud storage quota exceeded [Ref #1079],Employee's cloud storage account has reached its maximum quota and they are unable to save or sync new files. Requesting a quota increase.,IT Support
Vendor contract performance review overdue [Ref #1079],Annual performance review for the office housekeeping vendor is two months overdue. Review needs to be conducted before contract renewal decision.,Operations
Month-end accruals submission deadline,Reminder to all department heads that supporting details for month-end accrual entries must be submitted to finance by the 25th of each month.,Finance
Imprest account reconciliation overdue [Follow-up #304],The imprest cash account for the regional office has not been reconciled for two months. Finance team needs the account holder to submit vouchers.,Finance
Ergonomic assessment request [Follow-up #524],Employee with recurring back pain is requesting a formal ergonomic assessment of their workstation by a certified ergonomics consultant.,Operations
Wishlist items disappeared [Case #2151],Customer's saved wishlist with over 30 items has disappeared from their account after a recent app update. Items cannot be recovered from the app.,Customer Support
Skip-level meeting request [Follow-up #385],Employee wants to arrange a skip-level meeting with their manager's manager to discuss career growth concerns that they feel cannot be raised directly.,HR
Digital signature setup required [Case #2190],Employee needs a digital signature certificate configured on their workstation for signing official documents and contracts electronically.,IT Support
Promotion criteria clarification,Employee asks HR to clarify the specific criteria and process used to evaluate candidates for the senior analyst promotion that was recently announced.,HR
Department head succession planning [Follow-up #316],HR and senior management need to identify and develop succession candidates for three department head roles that may become vacant in 18 months.,Manager
Customer loyalty program redesign [Ref #1100],Marketing has proposed a complete redesign of the loyalty rewards program with an estimated annual cost impact of INR 25 lakhs. Awaiting approval.,Manager
Incorrect HRA exemption calculated [Ref #1036],Employee's HRA exemption in the latest Form 16 draft appears to be calculated incorrectly. The rent receipts submitted show a higher eligible amount.,Finance
Security incident at entrance gate,An unauthorized individual attempted to enter the office premises yesterday evening. CCTV footage has been preserved. Formal report needs to be filed.,Operations
Security incident at entrance gate [Follow-up #45],An unauthorized individual attempted to enter the office premises yesterday evening. CCTV footage has been preserved. Formal report needs to be filed.,Operations
Customer survey link broken [Ref #1053],Customer received a post-purchase satisfaction survey email but the link to the survey is broken and returns an error when clicked.,Customer Support
GitHub repository access request [Follow-up #349],New developer needs read and write access to specific code repositories on the company GitHub organization. Team lead approval is attached.,IT Support
Pantry restocking schedule not followed [Follow-up #387],"The pantry is frequently running out of tea, coffee and sugar before the scheduled restocking day. Supply schedule needs to be revised.",Operations
Digital signature setup required [Case #2070],Employee needs a digital signature certificate configured on their workstation for signing official documents and contracts electronically.,IT Support
New user account creation request [Follow-up #187],Manager requesting creation of a new Active Directory user account for a contractor joining next week. Access requirements list is attached.,IT Support
Complaint about product description mismatch [Case #2057],Product description on the website stated the item was made of stainless steel but the received product is made of plastic. Requesting refund.,Customer Support
Data center access request [Case #2155],Systems administrator requesting physical access to the data center for scheduled hardware maintenance. Security clearance form is attached.,IT Support
Server room temperature alarm triggered [Case #2114],Automated monitoring system triggered a temperature alarm for the server room. Physical inspection found one cooling unit is not functioning.,IT Support
Bundle offer item missing from delivery [Follow-up #153],Customer purchased a bundle offer that included three items but only two were delivered. The third item is not in the package and is missing from the invoice.,Customer Support
Application crashing after update [Ref #1049],An internally developed application started crashing for all users immediately after a scheduled maintenance update was deployed last night.,IT Support
Cash flow forecast accuracy review,CFO has requested a review of the cash flow forecasting model after actual cash flows deviated significantly from projections for three consecutive months.,Finance
Reconciliation of advance payments needed [Follow-up #186],Multiple employee travel advances were issued last quarter and the reconciliation against actual expenses has not been completed. Audit is approaching.,Finance
Hazardous waste disposal needed [Ref #1060],"Old batteries, expired chemicals and electronic waste have accumulated in the storage room. Certified hazardous waste disposal needs to be arranged.",Operations
Cart items disappearing before checkout [Follow-up #7],"Customer adds items to their cart but when they return to complete the purchase, all items have been removed from the cart automatically.",Customer Support
Helpdesk ticket system access needed [Ref #1083],New support team member needs access to the internal helpdesk ticketing system. Account creation and role assignment required before they start.,IT Support
Month-end accruals submission deadline [Case #2182],Reminder to all department heads that supporting details for month-end accrual entries must be submitted to finance by the 25th of each month.,Finance
Harassment complaint filing [Ref #1077],Employee wants to file a formal harassment complaint against a colleague. Requesting HR to initiate the internal complaints committee process as per policy.,HR
Approval for hiring freeze exception,Department urgently needs to hire a replacement for a critical role vacated due to sudden resignation during the company-wide hiring freeze.,Manager
Incorrect invoice amount from vendor [Ref #1074],"Vendor sent an invoice with a total that does not match the purchase order raised. The discrepancy is INR 12,500 and needs resolution before payment.",Finance
LTA claim submission and processing,Employee submitting Leave Travel Allowance claim for the current block year with all supporting travel documents attached for processing.,Finance
Rent agreement not submitted by employee [Follow-up #446],HR flagged that the employee claiming HRA has not submitted a valid rent agreement for the current financial year as required for exemption.,Finance
Wrongful termination grievance filing [Follow-up #208],Former employee is filing a formal grievance claiming their termination last month was wrongful and did not follow the due process outlined in HR policy.,HR
Power outage data recovery needed [Follow-up #386],An unexpected power outage yesterday caused an unsaved working document to be lost. Employee is requesting IT to attempt recovery from temporary files.,IT Support
Phone support hold time too long [Ref #1042],Customer waited on hold for 45 minutes without reaching an agent. This is the third time this week they have experienced excessive wait times on the support line.,Customer Support
Email address change not reflecting [Follow-up #124],Customer updated their email address in account settings but login and communications are still being sent to the old email address.,Customer Support
Chemical storage compliance issue [Follow-up #9],The cleaning chemicals storage area in the basement does not comply with the latest fire safety regulations. Immediate corrective action required.,Operations
Capital expenditure approval pending,"Project team is requesting approval for capital expenditure of INR 3,50,000 for new lab equipment. Business case and ROI analysis are attached.",Finance
LTA claim submission and processing [Follow-up #531],Employee submitting Leave Travel Allowance claim for the current block year with all supporting travel documents attached for processing.,Finance
Vendor payment terms renegotiation request [Follow-up #479],Procurement is requesting finance approval to renegotiate payment terms with a key vendor from net 30 to net 60 days to improve cash flow.,Finance
Delivery of fragile equipment not handled properly [Follow-up #168],A delivery of laboratory equipment arrived with two items damaged. Investigation shows the delivery team did not follow fragile handling procedures.,Operations
Collaboration tool integration request [Follow-up #67],Team requesting integration between their project management tool and the company's Slack workspace to receive automated task update notifications.,IT Support
ESIC contribution not deducted properly [Follow-up #109],Employee's ESIC deduction for the month appears incorrect. The amount deducted does not match the statutory rate applied to their gross salary.,Finance
Phone support hold time too long,Customer waited on hold for 45 minutes without reaching an agent. This is the third time this week they have experienced excessive wait times on the support line.,Customer Support
Vendor invoice dispute for cleaning services [Follow-up #6],Operations team is disputing a cleaning vendor's invoice that includes charges for services that were not requested or delivered during the billing period.,Operations
Temporary staff workstation setup [Case #2130],"Three temporary staff members are joining next Monday for a 3-month project. Workstations, access cards, and parking spaces need to be arranged.",Operations
Annual maintenance contract renewal [Follow-up #568],"Annual maintenance contracts for all office equipment including printers, ACs and elevators are due for renewal. Quotes from vendors are needed.",Operations
Password complexity policy complaint [Ref #1060],Multiple employees are complaining that the new password policy requiring 16 characters with special characters is causing frequent lockouts.,IT Support
Disciplinary action record expungement [Ref #1066],Employee requests that a minor disciplinary action recorded 3 years ago be expunged from their file as per the company policy on rehabilitation.,HR
Account password reset link expired [Follow-up #147],"Customer requested a password reset link but by the time they opened the email, the link had already expired. Requesting a new reset link.",Customer Support
Office temperature too cold in winter,Employees on the north-facing side of the office are consistently complaining about the office temperature being uncomfortably cold during morning hours.,Operations
Data privacy policy update approval [Ref #1047],Legal team has prepared an updated data privacy policy to comply with new regulations. Requesting senior management review and formal approval.,Manager
Workstation not joining domain [Follow-up #264],A newly provisioned desktop computer cannot be joined to the company's Active Directory domain. Error message appears during domain join attempt.,IT Support
Complaint about product description mismatch [Case #2122],Product description on the website stated the item was made of stainless steel but the received product is made of plastic. Requesting refund.,Customer Support
Digital download link not working [Follow-up #417],Customer purchased a digital product but the download link in the confirmation email returns a 404 error. Unable to access purchased content.,Customer Support
Pantry restocking schedule not followed,"The pantry is frequently running out of tea, coffee and sugar before the scheduled restocking day. Supply schedule needs to be revised.",Operations
Professional tax not deducted correctly [Follow-up #251],Professional tax deduction on the payslip does not match the applicable slab rate for the employee's salary band in the current state.,Finance
Regulatory compliance deadline approaching [Case #2091],A mandatory regulatory compliance submission is due in 21 days. Several departments have not yet provided the required data. Escalation needed.,Manager
Outlook calendar not syncing with Teams [Ref #1071],Employee's Outlook calendar events are not appearing in Microsoft Teams and vice versa. Meeting invites are being missed as a result of the sync failure.,IT Support
Digital signature setup required [Case #2011],Employee needs a digital signature certificate configured on their workstation for signing official documents and contracts electronically.,IT Support
Outdoor area maintenance needed [Follow-up #279],The outdoor seating area and garden space have not been maintained for several weeks. Overgrown plants and broken furniture need attention.,Operations
Office telephone directory outdated [Case #2068],The internal telephone directory used by reception and all staff is outdated. Many extensions and desk numbers have changed following the floor reorganization.,Operations
Coupon applied but full price charged [Ref #1064],Customer's coupon was accepted and showed a discounted total at checkout but the final charge on their card was the full undiscounted price.,Customer Support
Lost and found item management [Follow-up #405],A laptop bag was found in the cafeteria yesterday morning. No one has claimed it. Requesting operations to update the lost and found log and post an internal notice.,Operations
Data privacy policy update approval [Ref #1082],Legal team has prepared an updated data privacy policy to comply with new regulations. Requesting senior management review and formal approval.,Manager
Return to work plan after medical leave [Follow-up #499],Employee returning from 3-month medical leave needs a structured return-to-work plan with HR and their manager to ease back into full duties.,HR
Brand guideline violation by vendor [Follow-up #445],A marketing vendor used the company logo in a manner that violates brand guidelines in published material. Requesting management guidance on response.,Manager
Legacy application compatibility issue [Ref #1099],A legacy finance application does not run on Windows 11 which has been rolled out to new laptops. Compatibility mode is not resolving the issue.,IT Support
Stock option exercise tax withholding query [Ref #1054],Employee plans to exercise 500 vested stock options next month and needs clarification on the withholding tax amount that will be deducted.,Finance
Staff locker allocation issue [Follow-up #48],Several employees have been waiting for locker allocation for over a month. New lockers were ordered but have not yet been installed in the locker room.,Operations
Employee monitoring software query [Ref #1092],HR is querying IT about whether the company's remote monitoring software is configured in compliance with the current employee privacy policy.,IT Support
Temporary contract to permanent conversion [Ref #1068],Employee who has been on a temporary contract for 18 months is requesting conversion to a permanent role as per the company's contractual policy.,HR
Customer data breach response plan [Follow-up #177],"IT security has identified a potential data breach affecting 2,000 customer records. Requesting immediate management involvement in the response plan.",Manager
Approval for third-party security audit [Ref #1066],IT security team is recommending an external penetration test and security audit. Requesting management approval for vendor engagement and budget.,Manager
Company website down [Ref #1074],Multiple employees and external users are reporting that the company website is completely inaccessible. Homepage returns a 503 service unavailable error.,IT Support
Secondment agreement documentation [Follow-up #213],Employee has been verbally approved for a 6-month secondment to a partner organization but the formal secondment agreement has not been drafted yet.,HR
Digital signature setup required [Ref #1054],Employee needs a digital signature certificate configured on their workstation for signing official documents and contracts electronically.,IT Support
Internal audit expense variance finding [Follow-up #475],Internal audit has flagged a 28 percent variance between budgeted and actual marketing expenses for Q2. Finance needs to provide written explanation.,Finance
IT asset disposal request [Case #2177],Department has 8 old laptops and 3 desktop computers that are no longer in use. Requesting IT to process them through the approved disposal procedure.,IT Support
Tea and coffee machine breakdown [Follow-up #477],The main coffee machine in the employee lounge has broken down. It is the only source of hot beverages for 60 employees and needs urgent repair.,Operations
LTA claim submission and processing [Follow-up #29],Employee submitting Leave Travel Allowance claim for the current block year with all supporting travel documents attached for processing.,Finance
Job rotation request to another team,Employee is requesting a 3-month internal job rotation to the marketing team to broaden their skills. Current team manager has provided consent.,HR
IT system decommission approval [Follow-up #63],IT is requesting management approval to decommission three legacy systems that have been replaced by the new ERP. Data archival plan is ready.,Manager
Unplanned executive travel approval [Ref #1098],Senior executive needs to travel internationally on short notice for an urgent client meeting. Standard 14-day pre-approval process needs to be expedited.,Manager
Overdue receivables legal action approval [Follow-up #173],"Three client invoices totaling INR 4,20,000 are over 120 days overdue. Requesting management approval to initiate legal recovery proceedings.",Finance
Server room temperature alarm triggered [Case #2018],Automated monitoring system triggered a temperature alarm for the server room. Physical inspection found one cooling unit is not functioning.,IT Support
Legal hold order compliance [Follow-up #506],Legal team has issued a hold order on certain documents related to ongoing litigation. Management needs to ensure all relevant departments comply.,Manager
Replacement item also damaged [Follow-up #26],Customer received a replacement for a previously damaged item but the replacement is also damaged. Requesting a full refund instead of another replacement.,Customer Support
Temporary staff workstation setup [Ref #1057],"Three temporary staff members are joining next Monday for a 3-month project. Workstations, access cards, and parking spaces need to be arranged.",Operations
Reception desk coverage gap [Follow-up #56],The receptionist is going on leave for two weeks and no cover has been arranged. The reception desk will be unstaffed during that period.,Operations
Employee opinion survey results review,Annual employee opinion survey results are ready. Requesting a management review session to discuss findings and agree on action points.,Manager
Subscription plan downgrade not applied [Case #2125],Customer downgraded their subscription plan two billing cycles ago but continues to be charged at the higher plan rate without any adjustment.,Customer Support
Union representation request [Case #2166],Group of employees requesting HR to recognize their right to union representation during a disciplinary hearing scheduled for next week.,HR
In-store pickup not ready when arrived [Ref #1084],Customer selected in-store pickup with a confirmed ready notification but the item was not ready when they arrived at the store location.,Customer Support
Chemical storage compliance issue [Follow-up #52],The cleaning chemicals storage area in the basement does not comply with the latest fire safety regulations. Immediate corrective action required.,Operations
Phone extension number change needed,Employee moved to a new desk location and needs their VOIP phone extension number updated to reflect the new seating assignment.,IT Support
Visitor management system not working [Follow-up #128],The digital visitor registration kiosk at the reception has been malfunctioning for three days. Visitors are being managed manually which is causing delays.,Operations
Digital signature setup required [Follow-up #71],Employee needs a digital signature certificate configured on their workstation for signing official documents and contracts electronically.,IT Support
Outlook calendar not syncing with Teams [Ref #1036],Employee's Outlook calendar events are not appearing in Microsoft Teams and vice versa. Meeting invites are being missed as a result of the sync failure.,IT Support
New hire buddy program enrollment [Follow-up #529],Manager requesting HR to assign a buddy from the existing team to a new joiner starting next week to facilitate faster onboarding and integration.,HR
IT asset disposal request [Follow-up #474],Department has 8 old laptops and 3 desktop computers that are no longer in use. Requesting IT to process them through the approved disposal procedure.,IT Support
Vendor contract performance review overdue,Annual performance review for the office housekeeping vendor is two months overdue. Review needs to be conducted before contract renewal decision.,Operations
Hard disk making unusual noise [Ref #1050],Employee's laptop hard disk is making a clicking noise during operation. Data loss is a concern and backup needs to be performed immediately.,IT Support
Roof terrace access request for event [Follow-up #505],HR team requesting access to the building rooftop terrace for a company celebration event scheduled for next Friday evening for 50 employees.,Operations
Remote work productivity concerns [Ref #1043],Manager is raising concerns about measurable productivity decline in the fully remote team and requesting guidance on policy or tooling changes.,Manager
Server room temperature alarm triggered [Ref #1082],Automated monitoring system triggered a temperature alarm for the server room. Physical inspection found one cooling unit is not functioning.,IT Support
Loading dock scheduling conflict [Case #2075],Two large deliveries are scheduled simultaneously at the loading dock tomorrow. Only one dock is available and coordination is needed to stagger timings.,Operations
Withholding tax certificate request,Foreign vendor is requesting a withholding tax deduction certificate for payments made during the financial year for their local tax filing.,Finance
Bundle offer item missing from delivery [Follow-up #176],Customer purchased a bundle offer that included three items but only two were delivered. The third item is not in the package and is missing from the invoice.,Customer Support
Payroll correction for terminated employee [Ref #1093],A terminated employee was incorrectly included in last month's payroll run and their salary was credited. Requesting reversal and recovery process.,Finance
New financial year budget template needed [Case #2003],Department heads are requesting the standardized budget template for next financial year planning. Previous year's template is outdated.,Finance
Secondment agreement documentation [Case #2109],Employee has been verbally approved for a 6-month secondment to a partner organization but the formal secondment agreement has not been drafted yet.,HR
Commission calculation dispute,Sales employee disputes the commission amount calculated for Q2. Claims the calculation excludes three deals that were closed and invoiced during the quarter.,Finance
Joint venture partner selection [Follow-up #463],Business development team has shortlisted two joint venture partners for a new market entry. Requesting management decision on preferred partner.,Manager
Bundle offer item missing from delivery [Case #2175],Customer purchased a bundle offer that included three items but only two were delivered. The third item is not in the package and is missing from the invoice.,Customer Support
Emergency contact information update [Ref #1061],Employee needs to update the emergency contact information in their HR record following a change in their personal circumstances.,HR
ESIC contribution not deducted properly [Follow-up #81],Employee's ESIC deduction for the month appears incorrect. The amount deducted does not match the statutory rate applied to their gross salary.,Finance
Digital download link not working [Follow-up #501],Customer purchased a digital product but the download link in the confirmation email returns a 404 error. Unable to access purchased content.,Customer Support
Legal hold order compliance [Ref #1056],Legal team has issued a hold order on certain documents related to ongoing litigation. Management needs to ensure all relevant departments comply.,Manager
Subscription pause feature not working [Follow-up #53],Customer is trying to pause their subscription for 2 months using the account settings but the pause option is greyed out and unresponsive.,Customer Support
Unplanned executive travel approval [Follow-up #291],Senior executive needs to travel internationally on short notice for an urgent client meeting. Standard 14-day pre-approval process needs to be expedited.,Manager
Cheque payment bounced unexpectedly [Case #2095],A cheque issued to a vendor was returned by the bank with a 'funds insufficient' notice despite adequate balance in the account. Requesting investigation.,Finance
In-store pickup not ready when arrived [Ref #1049],Customer selected in-store pickup with a confirmed ready notification but the item was not ready when they arrived at the store location.,Customer Support
IT system decommission approval [Follow-up #384],IT is requesting management approval to decommission three legacy systems that have been replaced by the new ERP. Data archival plan is ready.,Manager
Replacement item also damaged [Case #2025],Customer received a replacement for a previously damaged item but the replacement is also damaged. Requesting a full refund instead of another replacement.,Customer Support
Company website down,Multiple employees and external users are reporting that the company website is completely inaccessible. Homepage returns a 503 service unavailable error.,IT Support
Hazardous waste disposal needed [Ref #1095],"Old batteries, expired chemicals and electronic waste have accumulated in the storage room. Certified hazardous waste disposal needs to be arranged.",Operations
Long service award recognition,Employee is completing 10 years with the organization this month. Requesting HR to initiate the long service award recognition process as per policy.,HR
In-store pickup not ready when arrived [Follow-up #500],Customer selected in-store pickup with a confirmed ready notification but the item was not ready when they arrived at the store location.,Customer Support
Mobile app push notifications not arriving [Case #2141],Employees are not receiving push notifications from the company's internal mobile application despite notifications being enabled in device settings.,IT Support
HR analytics data access request,People analytics team is requesting access to historical attrition and engagement data to build predictive models for workforce planning.,HR
Shared mailbox access request [Follow-up #450],Employee needs access to a shared team mailbox to monitor and respond to department inquiries. Manager approval has been obtained.,IT Support
Incorrect estimated delivery date shown [Ref #1059],The estimated delivery date shown at checkout was 3 days but the order has now been pending for 8 days with no update on when it will arrive.,Customer Support
Complaint about delayed response time [Ref #1054],Customer submitted a support ticket 6 days ago and has only received an automated acknowledgment. No agent has responded to the actual query.,Customer Support
New hire buddy program enrollment [Follow-up #121],Manager requesting HR to assign a buddy from the existing team to a new joiner starting next week to facilitate faster onboarding and integration.,HR
Approval for hiring freeze exception [Follow-up #162],Department urgently needs to hire a replacement for a critical role vacated due to sudden resignation during the company-wide hiring freeze.,Manager
Order confirmation email going to spam [Case #2138],All order confirmation and shipping notification emails from the platform are automatically going to the customer's spam folder despite being marked as safe.,Customer Support
Wrongful termination grievance filing [Ref #1098],Former employee is filing a formal grievance claiming their termination last month was wrongful and did not follow the due process outlined in HR policy.,HR
Relocation of server room equipment [Case #2102],IT team needs operations support to safely move server racks during the weekend office renovation. Requires coordination and heavy equipment.,Operations
Annual leave carry forward approval [Ref #1038],Employee has 8 unused leave days approaching the carry-forward deadline. Requesting approval to carry them forward to the next year due to project demands.,HR
Staff locker allocation issue [Ref #1069],Several employees have been waiting for locker allocation for over a month. New lockers were ordered but have not yet been installed in the locker room.,Operations
Bundle offer item missing from delivery [Case #2152],Customer purchased a bundle offer that included three items but only two were delivered. The third item is not in the package and is missing from the invoice.,Customer Support
Cheque payment bounced unexpectedly,A cheque issued to a vendor was returned by the bank with a 'funds insufficient' notice despite adequate balance in the account. Requesting investigation.,Finance
